id_student,gender,region,highest_education,studied_credits,imd_band,total_clicks,avg_score,engagement_level,performance_level,risk_level,pass_flag,dropout_flag,final_result
148993,F,North Western Region,A Level or Equivalent,60,30-40%,3812,79.5,High,High,Safe,0,1,Withdrawn
151358,F,London Region,A Level or Equivalent,150,80-90%,270,50,Low,Low,Very High Risk,1,0,Pass
155550,M,London Region,A Level or Equivalent,420,0-10%,1529,67,Medium,Medium,Low Risk,1,0,Pass
155854,F,East Midlands Region,A Level or Equivalent,60,20-30%,4003,79.8,High,High,Safe,1,0,Pass
155984,F,East Anglian Region,Lower Than A Level,60,70-80%,2645,78.1428571428571,High,High,Safe,0,1,Withdrawn
157568,F,South West Region,A Level or Equivalent,60,90-100%,1405,70.6,Medium,High,Low Risk,1,0,Pass
159954,M,East Midlands Region,A Level or Equivalent,60,40-50%,2062,68.2,High,Medium,Low Risk,0,1,Withdrawn
164259,M,Scotland,A Level or Equivalent,60,70-80%,466,71.8,Low,High,High Risk,1,0,Pass
167906,F,Yorkshire Region,A Level or Equivalent,60,40-50%,1510,69.4,Medium,Medium,Low Risk,1,0,Pass
168936,F,West Midlands Region,Lower Than A Level,60,10-20,745,66.4,Medium,Medium,High Risk,1,0,Pass
172112,M,Ireland,HE Qualification,60,,1939,69.6,High,Medium,Low Risk,1,0,Pass
172797,F,Ireland,A Level or Equivalent,60,,1782,61.4,High,Medium,Low Risk,1,0,Pass
174782,M,East Anglian Region,HE Qualification,60,90-100%,6318,80.4,High,High,Safe,1,0,Pass
175392,M,North Region,HE Qualification,60,,4447,82.4,High,High,Safe,1,0,Pass
175932,M,North Western Region,HE Qualification,60,70-80%,2016,78.2,High,High,Low Risk,1,0,Pass
175991,F,North Western Region,A Level or Equivalent,180,80-90%,138,37.6,Low,Low,Very High Risk,0,0,Fail
180753,M,South West Region,A Level or Equivalent,120,30-40%,2012,53.4,High,Medium,Low Risk,1,0,Pass
181316,F,South West Region,A Level or Equivalent,120,80-90%,487,76,Medium,High,High Risk,0,1,Withdrawn
183096,F,South West Region,A Level or Equivalent,60,60-70%,1975,54,High,Medium,Low Risk,1,0,Pass
183947,M,London Region,A Level or Equivalent,180,10-20,964,49,Medium,Low,Low Risk,1,0,Pass
184271,M,South West Region,HE Qualification,170,80-90%,1312,59.8,Medium,Medium,Low Risk,1,0,Pass
185439,M,London Region,HE Qualification,120,10-20,427,74,Low,High,High Risk,0,0,Fail
186149,M,Scotland,HE Qualification,60,30-40%,2136,76,High,High,Low Risk,1,0,Pass
187100,M,South East Region,A Level or Equivalent,60,50-60%,8562,89.2,High,High,Safe,1,0,Distinction
188278,M,Yorkshire Region,A Level or Equivalent,120,70-80%,4497,71.6666666666667,High,High,Safe,0,1,Withdrawn
189879,M,Scotland,A Level or Equivalent,120,90-100%,1541,79.4,Medium,High,Low Risk,1,0,Pass
192183,F,South West Region,Lower Than A Level,60,90-100%,3219,68.4,High,Medium,Safe,1,0,Pass
195262,M,London Region,A Level or Equivalent,60,90-100%,1905,50,High,Low,Low Risk,0,1,Withdrawn
200860,M,London Region,Lower Than A Level,60,50-60%,534,54.4,Medium,Medium,High Risk,1,0,Pass
202635,F,Wales,A Level or Equivalent,60,30-40%,1418,66.6666666666667,Medium,Medium,Low Risk,0,1,Withdrawn
205350,M,South West Region,HE Qualification,60,80-90%,1665,72.2,High,High,Low Risk,1,0,Pass
205719,M,East Anglian Region,A Level or Equivalent,90,40-50%,333,56.6666666666667,Low,Medium,High Risk,0,0,Fail
227499,F,London Region,A Level or Equivalent,60,10-20,2953,83.6,High,High,Safe,1,0,Distinction
227517,M,Ireland,HE Qualification,180,,1205,62.6,Medium,Medium,Low Risk,0,0,Fail
228082,M,London Region,HE Qualification,60,60-70%,227,72.4,Low,High,Very High Risk,1,0,Pass
228222,M,East Midlands Region,Lower Than A Level,60,50-60%,445,61.8,Low,Medium,High Risk,1,0,Pass
229179,M,West Midlands Region,A Level or Equivalent,60,20-30%,614,66,Medium,Medium,High Risk,1,0,Pass
229361,M,East Midlands Region,A Level or Equivalent,60,50-60%,1215,78,Medium,High,Low Risk,1,0,Pass
231554,M,London Region,A Level or Equivalent,240,40-50%,1839,67.75,High,Medium,Low Risk,1,0,Pass
235507,M,Yorkshire Region,A Level or Equivalent,240,90-100%,1257,57.8333333333333,Medium,Medium,Low Risk,0,1,Withdrawn
236284,M,Scotland,Post Graduate Qualification,60,90-100%,732,78,Medium,High,High Risk,1,0,Pass
238007,M,South Region,HE Qualification,60,90-100%,1935,79.2,High,High,Low Risk,1,0,Pass
240712,M,London Region,HE Qualification,80,80-90%,321,75.8,Low,High,Very High Risk,1,0,Pass
240884,M,South Region,A Level or Equivalent,120,90-100%,427,58.4,Low,Medium,High Risk,1,0,Pass
241649,M,East Anglian Region,HE Qualification,60,90-100%,1892,78.8,High,High,Low Risk,1,0,Pass
241729,F,East Midlands Region,HE Qualification,60,60-70%,1829,58.6,High,Medium,Low Risk,0,0,Fail
242793,M,London Region,HE Qualification,60,20-30%,658,77.4,Medium,High,High Risk,1,0,Pass
246834,M,South West Region,A Level or Equivalent,60,90-100%,1174,55.6,Medium,Medium,Low Risk,1,0,Pass
248270,M,North Western Region,Lower Than A Level,90,20-30%,1969,78.4,High,High,Low Risk,1,0,Pass
255548,M,Wales,Lower Than A Level,60,20-30%,2580,71.4,High,High,Safe,1,0,Pass
256815,M,North Western Region,HE Qualification,120,10-20,1481,76.8,Medium,High,Low Risk,1,0,Pass
258392,F,West Midlands Region,Lower Than A Level,60,30-40%,844,58.8,Medium,Medium,High Risk,1,0,Pass
258894,F,East Anglian Region,Lower Than A Level,60,70-80%,4963,64.8,High,Medium,Safe,1,0,Pass
260355,F,London Region,A Level or Equivalent,60,80-90%,426,57.5,Low,Medium,High Risk,0,1,Withdrawn
262011,M,East Midlands Region,A Level or Equivalent,60,20-30%,1066,71,Medium,High,Low Risk,1,0,Pass
262934,F,North Western Region,A Level or Equivalent,60,30-40%,2407,76.6,High,High,Safe,1,0,Pass
268073,M,East Anglian Region,A Level or Equivalent,90,10-20,3210,74.6,High,High,Safe,0,0,Fail
268733,M,East Anglian Region,A Level or Equivalent,180,30-40%,191,43,Low,Low,Very High Risk,0,1,Withdrawn
271251,M,Scotland,A Level or Equivalent,60,80-90%,3348,76.4,High,High,Safe,1,0,Pass
277880,F,South East Region,A Level or Equivalent,60,60-70%,2028,67.6666666666667,High,Medium,Low Risk,0,1,Withdrawn
279572,M,London Region,Lower Than A Level,60,40-50%,1183,79.2,Medium,High,Low Risk,1,0,Distinction
281022,F,Scotland,A Level or Equivalent,150,30-40%,492,73.4,Medium,High,High Risk,1,0,Pass
281250,M,Wales,Lower Than A Level,60,70-80%,130,55.4,Low,Medium,Very High Risk,0,0,Fail
281589,M,North Western Region,HE Qualification,60,30-40%,59,,Low,,Very High Risk,0,0,Fail
282821,M,South West Region,A Level or Equivalent,60,30-40%,1961,60.6,High,Medium,Low Risk,1,0,Pass
286488,M,South East Region,A Level or Equivalent,60,90-100%,1046,71,Medium,High,Low Risk,1,0,Pass
287548,M,East Anglian Region,A Level or Equivalent,120,90-100%,483,67.8,Medium,Medium,High Risk,1,0,Pass
290201,M,Wales,A Level or Equivalent,60,20-30%,1740,70.4,High,High,Low Risk,1,0,Pass
290757,M,North Western Region,A Level or Equivalent,60,30-40%,652,75,Medium,High,High Risk,1,0,Pass
291334,M,South East Region,A Level or Equivalent,60,90-100%,5231,83.6,High,High,Safe,1,0,Distinction
292923,F,South East Region,A Level or Equivalent,180,90-100%,,,,,,0,1,Withdrawn
293699,M,East Midlands Region,A Level or Equivalent,120,70-80%,187,46.75,Low,Low,Very High Risk,1,0,Pass
294570,M,South East Region,HE Qualification,60,90-100%,1775,78.2,High,High,Low Risk,1,0,Pass
294594,M,South East Region,A Level or Equivalent,60,90-100%,865,52.8,Medium,Medium,High Risk,1,0,Pass
295741,M,South East Region,A Level or Equivalent,240,40-50%,3099,71,High,High,Safe,0,0,Fail
296332,M,South Region,Post Graduate Qualification,60,90-100%,2152,86.8,High,High,Low Risk,1,0,Distinction
298696,F,South East Region,HE Qualification,60,80-90%,514,80.8,Medium,High,High Risk,1,0,Pass
300398,M,West Midlands Region,A Level or Equivalent,60,30-40%,1997,78.8,High,High,Low Risk,1,0,Pass
302302,F,East Anglian Region,A Level or Equivalent,60,40-50%,513,58.6666666666667,Medium,Medium,High Risk,0,0,Fail
305152,M,North Western Region,A Level or Equivalent,60,70-80%,146,64,Low,Medium,Very High Risk,0,0,Fail
305386,M,West Midlands Region,A Level or Equivalent,120,70-80%,1277,78,Medium,High,Low Risk,1,0,Pass
305539,F,Wales,Lower Than A Level,120,80-90%,68,,Low,,Very High Risk,0,1,Withdrawn
306107,M,West Midlands Region,A Level or Equivalent,120,50-60%,987,58.2,Medium,Medium,Low Risk,1,0,Pass
306466,M,East Anglian Region,A Level or Equivalent,60,90-100%,1220,82,Medium,High,Low Risk,1,0,Pass
306897,F,London Region,A Level or Equivalent,60,10-20,2742,62.6,High,Medium,Safe,1,0,Pass
307061,F,East Midlands Region,HE Qualification,60,10-20,1081,81.2,Medium,High,Low Risk,1,0,Pass
307866,M,West Midlands Region,A Level or Equivalent,60,70-80%,1476,60,Medium,Medium,Low Risk,1,0,Pass
311917,M,South West Region,A Level or Equivalent,120,60-70%,2230,59.2,High,Medium,Safe,1,0,Pass
312537,M,South Region,Post Graduate Qualification,60,90-100%,12882,87.8,High,High,Safe,1,0,Distinction
312782,M,South Region,A Level or Equivalent,60,90-100%,281,61.8,Low,Medium,Very High Risk,1,0,Pass
318933,F,East Anglian Region,HE Qualification,120,80-90%,1281,66.6,Medium,Medium,Low Risk,1,0,Pass
319047,F,East Midlands Region,A Level or Equivalent,60,50-60%,6589,78.4,High,High,Safe,1,0,Pass
321942,M,South Region,HE Qualification,60,90-100%,10083,80.4,High,High,Safe,1,0,Pass
324002,M,East Anglian Region,HE Qualification,60,40-50%,1901,80.4,High,High,Low Risk,1,0,Pass
324084,F,South West Region,A Level or Equivalent,60,10-20,1961,57.6,High,Medium,Low Risk,1,0,Pass
324282,M,South East Region,A Level or Equivalent,120,90-100%,133,61.2,Low,Medium,Very High Risk,1,0,Pass
331358,F,South Region,HE Qualification,60,90-100%,6588,84.6666666666667,High,High,Safe,0,1,Withdrawn
332789,F,East Anglian Region,A Level or Equivalent,60,60-70%,1655,74.4,High,High,Low Risk,1,0,Pass
333059,M,Scotland,A Level or Equivalent,120,20-30%,301,65.8,Low,Medium,Very High Risk,1,0,Pass
333323,M,Scotland,HE Qualification,60,80-90%,648,74.4,Medium,High,High Risk,1,0,Pass
334259,F,London Region,A Level or Equivalent,150,50-60%,332,53,Low,Medium,High Risk,0,0,Fail
334333,F,South West Region,A Level or Equivalent,240,0-10%,303,36,Low,Low,Very High Risk,0,1,Withdrawn
335764,F,South East Region,A Level or Equivalent,60,20-30%,3928,86.875,High,High,Safe,0,1,Withdrawn
336207,M,East Anglian Region,A Level or Equivalent,120,90-100%,1316,68.2,Medium,Medium,Low Risk,1,0,Pass
339972,M,North Region,A Level or Equivalent,60,80-90%,333,49.8,Low,Low,High Risk,1,0,Pass
341872,M,East Anglian Region,Lower Than A Level,180,40-50%,201,64.2,Low,Medium,Very High Risk,0,0,Fail
342007,F,West Midlands Region,HE Qualification,60,70-80%,3178,82.3333333333333,High,High,Safe,0,1,Withdrawn
342514,M,Scotland,Lower Than A Level,60,50-60%,1950,77.2,High,High,Low Risk,1,0,Pass
342972,M,Yorkshire Region,HE Qualification,60,0-10%,838,60.4,Medium,Medium,High Risk,1,0,Pass
343446,M,Ireland,HE Qualification,120,70-80%,3644,78.4,High,High,Safe,1,0,Pass
344282,M,Yorkshire Region,A Level or Equivalent,60,10-20,65,49.2,Low,Low,Very High Risk,0,0,Fail
345068,M,East Anglian Region,A Level or Equivalent,180,60-70%,547,78,Medium,High,High Risk,1,0,Pass
345357,M,Yorkshire Region,A Level or Equivalent,60,30-40%,2219,80.4,High,High,Safe,1,0,Distinction
346025,M,East Anglian Region,A Level or Equivalent,120,50-60%,569,82.4,Medium,High,High Risk,1,0,Pass
346843,F,Scotland,HE Qualification,120,50-60%,164,,Low,,Very High Risk,0,0,Fail
350188,M,North Western Region,HE Qualification,60,80-90%,761,73.8,Medium,High,High Risk,1,0,Pass
354858,M,South Region,HE Qualification,120,90-100%,198,,Low,,Very High Risk,0,1,Withdrawn
357668,M,Yorkshire Region,A Level or Equivalent,60,10-20,166,57,Low,Medium,Very High Risk,0,0,Fail
364177,M,East Anglian Region,Lower Than A Level,60,70-80%,821,69,Medium,Medium,High Risk,0,0,Fail
365244,F,London Region,A Level or Equivalent,120,0-10%,891,56.4,Medium,Medium,High Risk,1,0,Pass
365642,M,East Anglian Region,Lower Than A Level,60,10-20,2129,70,High,Medium,Low Risk,1,0,Pass
366483,M,South West Region,HE Qualification,60,40-50%,1465,76.8,Medium,High,Low Risk,1,0,Pass
368194,F,South West Region,A Level or Equivalent,120,50-60%,437,50.4,Low,Medium,High Risk,1,0,Pass
368824,M,Wales,HE Qualification,120,50-60%,292,55.6,Low,Medium,Very High Risk,0,0,Fail
368963,M,Yorkshire Region,Lower Than A Level,180,0-10%,677,66.4,Medium,Medium,High Risk,1,0,Pass
376439,M,North Region,HE Qualification,60,,2342,87,High,High,Safe,1,0,Distinction
376581,F,South Region,A Level or Equivalent,60,80-90%,2333,72.8,High,High,Safe,1,0,Pass
380953,M,East Midlands Region,A Level or Equivalent,60,80-90%,1062,67.8,Medium,Medium,Low Risk,1,0,Pass
383254,M,Yorkshire Region,A Level or Equivalent,120,90-100%,543,75.6,Medium,High,High Risk,1,0,Pass
386924,M,Ireland,Lower Than A Level,120,,164,67.8,Low,Medium,Very High Risk,1,0,Pass
386952,M,Yorkshire Region,A Level or Equivalent,120,70-80%,910,68,Medium,Medium,Low Risk,1,0,Pass
388722,F,London Region,Lower Than A Level,60,80-90%,671,63.8,Medium,Medium,High Risk,1,0,Pass
388885,M,South West Region,A Level or Equivalent,60,90-100%,875,60.6,Medium,Medium,High Risk,1,0,Pass
390890,M,Scotland,A Level or Equivalent,90,0-10%,997,68.625,Medium,Medium,Low Risk,0,1,Withdrawn
392756,M,West Midlands Region,A Level or Equivalent,120,70-80%,363,45,Low,Low,High Risk,0,0,Fail
392931,F,North Western Region,A Level or Equivalent,120,50-60%,3003,68.4,High,Medium,Safe,1,0,Pass
393207,M,North Western Region,A Level or Equivalent,60,60-70%,876,74.2,Medium,High,High Risk,1,0,Pass
396872,M,Yorkshire Region,HE Qualification,180,50-60%,996,61.4,Medium,Medium,Low Risk,1,0,Pass
398552,M,Yorkshire Region,Lower Than A Level,240,90-100%,1183,46.4,Medium,Low,Low Risk,0,0,Fail
401869,F,South East Region,Lower Than A Level,60,80-90%,955,65,Medium,Medium,Low Risk,1,0,Pass
402470,M,South West Region,Lower Than A Level,60,50-60%,1445,72.6,Medium,High,Low Risk,1,0,Pass
404804,M,Wales,Lower Than A Level,120,20-30%,509,43.8,Medium,Low,High Risk,1,0,Pass
405088,M,North Region,A Level or Equivalent,120,20-30%,1388,77.2,Medium,High,Low Risk,1,0,Pass
405961,M,Scotland,A Level or Equivalent,240,90-100%,,,,,,0,1,Withdrawn
414117,M,Yorkshire Region,A Level or Equivalent,120,50-60%,807,76.4,Medium,High,High Risk,1,0,Pass
415969,M,West Midlands Region,HE Qualification,90,0-10%,1417,59.6666666666667,Medium,Medium,Low Risk,0,1,Withdrawn
420087,M,Scotland,A Level or Equivalent,60,40-50%,342,76,Low,High,High Risk,0,0,Fail
429958,F,North Western Region,A Level or Equivalent,60,70-80%,411,58.4,Low,Medium,High Risk,1,0,Pass
441018,F,South East Region,A Level or Equivalent,150,70-80%,646,59.8,Medium,Medium,High Risk,1,0,Pass
441888,M,London Region,A Level or Equivalent,120,20-30%,739,70.6,Medium,High,High Risk,1,0,Pass
442442,M,South West Region,HE Qualification,120,80-90%,1009,40.5,Medium,Low,Low Risk,0,1,Withdrawn
444677,M,London Region,HE Qualification,60,30-40%,1241,87.6,Medium,High,Low Risk,1,0,Distinction
470588,M,South East Region,HE Qualification,60,90-100%,842,79.3333333333333,Medium,High,High Risk,0,1,Withdrawn
489455,F,South West Region,A Level or Equivalent,60,20-30%,2832,70.6,High,High,Safe,1,0,Pass
494424,F,North Region,A Level or Equivalent,60,80-90%,58,,Low,,Very High Risk,0,0,Fail
495284,M,South East Region,HE Qualification,120,80-90%,901,66.6,Medium,Medium,High Risk,1,0,Pass
498857,M,North Western Region,HE Qualification,60,80-90%,998,73,Medium,High,Low Risk,1,0,Pass
508818,M,London Region,A Level or Equivalent,120,40-50%,1129,71.8,Medium,High,Low Risk,1,0,Pass
512460,M,South East Region,HE Qualification,120,90-100%,521,72.4,Medium,High,High Risk,1,0,Pass
544103,M,North Western Region,HE Qualification,120,40-50%,2328,81,High,High,Safe,1,0,Pass
550383,M,South East Region,HE Qualification,60,60-70%,910,72,Medium,High,Low Risk,1,0,Pass
564450,M,West Midlands Region,HE Qualification,120,80-90%,224,59.2,Low,Medium,Very High Risk,0,0,Fail
568601,F,Scotland,HE Qualification,60,30-40%,488,81.5,Medium,High,High Risk,0,1,Withdrawn
572652,M,West Midlands Region,HE Qualification,120,70-80%,780,73.2,Medium,High,High Risk,1,0,Pass
580389,M,Ireland,HE Qualification,120,90-100%,1271,71.4,Medium,High,Low Risk,1,0,Pass
581129,M,East Anglian Region,A Level or Equivalent,120,30-40%,194,40,Low,Low,Very High Risk,0,0,Fail
588775,M,South West Region,A Level or Equivalent,120,90-100%,7067,82.8,High,High,Safe,1,0,Pass
591774,M,South Region,Post Graduate Qualification,60,90-100%,605,76.2,Medium,High,High Risk,1,0,Pass
603861,M,North Region,HE Qualification,60,,1105,63,Medium,Medium,Low Risk,0,1,Withdrawn
606143,M,Scotland,Post Graduate Qualification,60,90-100%,406,66,Low,Medium,High Risk,0,0,Fail
704156,M,South Region,HE Qualification,120,90-100%,3064,66,High,Medium,Safe,1,0,Pass
705379,M,West Midlands Region,A Level or Equivalent,120,60-70%,5680,80.8,High,High,Safe,1,0,Distinction
721259,F,South Region,Lower Than A Level,120,50-60%,4108,65,High,Medium,Safe,0,1,Withdrawn
749412,M,South Region,Lower Than A Level,60,70-80%,4007,72,High,High,Safe,1,0,Pass
760729,M,West Midlands Region,A Level or Equivalent,60,60-70%,7288,81.2,High,High,Safe,1,0,Distinction
905042,F,East Anglian Region,A Level or Equivalent,60,90-100%,3004,76.4,High,High,Safe,1,0,Pass
949618,F,South West Region,A Level or Equivalent,60,50-60%,1357,61.8,Medium,Medium,Low Risk,1,0,Pass
958987,M,North Western Region,HE Qualification,60,40-50%,1216,77.2,Medium,High,Low Risk,1,0,Pass
968578,F,East Anglian Region,A Level or Equivalent,60,40-50%,870,72,Medium,High,High Risk,1,0,Pass
969076,M,South West Region,A Level or Equivalent,180,80-90%,1980,59.75,High,Medium,Low Risk,0,1,Withdrawn
971027,F,West Midlands Region,HE Qualification,60,90-100%,3098,68,High,Medium,Safe,1,0,Pass
978739,M,South Region,HE Qualification,60,90-100%,5988,56.6,High,Medium,Safe,1,0,Pass
1035023,F,London Region,Lower Than A Level,60,30-40%,1896,70,High,Medium,Low Risk,1,0,Pass
1105478,M,Scotland,HE Qualification,60,80-90%,1695,82.6,High,High,Low Risk,1,0,Pass
1352868,M,Yorkshire Region,A Level or Equivalent,60,20-30%,1732,68.5714285714286,High,Medium,Low Risk,0,1,Withdrawn
1401935,M,West Midlands Region,A Level or Equivalent,60,70-80%,240,35,Low,Low,Very High Risk,0,0,Fail
1402638,F,East Midlands Region,HE Qualification,60,30-40%,910,75.2,Medium,High,Low Risk,1,0,Pass
1414443,F,Yorkshire Region,A Level or Equivalent,120,10-20,1907,59,High,Medium,Low Risk,0,0,Fail
1456619,M,South West Region,A Level or Equivalent,60,90-100%,1173,63,Medium,Medium,Low Risk,0,1,Withdrawn
1465690,M,West Midlands Region,HE Qualification,120,40-50%,3460,81.8,High,High,Safe,1,0,Pass
1472925,F,East Anglian Region,Lower Than A Level,60,40-50%,1462,61.9,Medium,Medium,Low Risk,0,0,Fail
1488959,M,London Region,A Level or Equivalent,60,70-80%,3493,61.8,High,Medium,Safe,1,0,Pass
1518989,F,South East Region,Lower Than A Level,60,80-90%,4202,73,High,High,Safe,1,0,Pass
1618738,M,London Region,Lower Than A Level,60,90-100%,723,79.6,Medium,High,High Risk,1,0,Pass
1620151,M,South Region,HE Qualification,60,90-100%,998,77.5,Medium,High,Low Risk,0,0,Fail
1626710,M,North Western Region,A Level or Equivalent,60,60-70%,6025,84.6,High,High,Safe,1,0,Distinction
1640609,M,West Midlands Region,A Level or Equivalent,60,30-40%,5061,85,High,High,Safe,1,0,Pass
1686521,F,North Western Region,Lower Than A Level,60,50-60%,643,68,Medium,Medium,High Risk,0,1,Withdrawn
1729319,F,Scotland,HE Qualification,60,40-50%,2756,78.2,High,High,Safe,1,0,Pass
1746134,M,East Anglian Region,A Level or Equivalent,60,60-70%,1759,83.8,High,High,Low Risk,1,0,Pass
1758449,M,South Region,Lower Than A Level,75,30-40%,2756,61,High,Medium,Safe,0,1,Withdrawn
1763015,F,Scotland,A Level or Equivalent,60,10-20,420,,Low,,High Risk,0,1,Withdrawn
1765788,M,South East Region,HE Qualification,60,70-80%,7057,66.2,High,Medium,Safe,1,0,Pass
1801229,M,Ireland,HE Qualification,60,,1443,76.8,Medium,High,Low Risk,1,0,Pass
1801641,M,Scotland,A Level or Equivalent,60,30-40%,459,77.4,Low,High,High Risk,1,0,Pass
1847830,M,South West Region,Lower Than A Level,60,40-50%,6518,71,High,High,Safe,1,0,Pass
1860318,M,South West Region,Lower Than A Level,300,40-50%,5975,62.6,High,Medium,Safe,1,0,Pass
1889511,M,Yorkshire Region,A Level or Equivalent,60,50-60%,1754,72,High,High,Low Risk,1,0,Pass
